date,T2M,RH2M,WS10M,PRECTOTCORR
2024-04-11,31.24,26.16,1.52,0.0
2024-04-12,32.24,22.34,1.96,0.32
2024-04-13,31.84,25.95,3.04,0.0
2024-04-14,30.38,32.53,2.29,1.15
2024-04-15,29.51,38.01,2.53,1.2
2024-04-16,30.15,34.11,4.97,0.0
2024-04-17,29.82,23.79,6.28,0.0
2024-04-18,31.08,23.83,4.52,0.0
2024-04-19,32.13,25.42,4.04,0.0
2024-04-20,30.83,22.4,3.99,0.0
2024-04-21,31.4,26.13,4.17,0.0
2024-04-22,31.99,24.93,3.98,0.01
2024-04-23,32.37,17.73,2.52,0.0
2024-04-24,31.17,21.97,3.65,0.82
2024-04-25,32.36,19.62,4.47,0.0
2024-04-26,33.79,19.33,2.77,0.0
2024-04-27,33.55,20.07,4.06,0.5
2024-04-28,32.18,23.06,3.05,0.01
2024-04-29,33.26,22.98,4.26,0.0
2024-04-30,30.33,21.9,4.39,0.0
2024-05-01,27.77,19.07,5.51,0.0
2024-05-02,28.64,18.53,4.2,0.0
2024-05-03,31.32,15.05,4.72,0.0
2024-05-04,33.94,15.78,3.3,0.0
2024-05-05,34.47,20.69,3.89,0.0
2024-05-06,34.93,20.65,3.79,0.0
2024-05-07,35.9,19.19,2.13,0.0
2024-05-08,35.02,19.31,3.29,0.0
2024-05-09,33.19,28.64,3.54,0.04
2024-05-10,34.37,27.33,3.05,0.04
2024-05-11,34.35,29.22,2.7,0.36
2024-05-12,34.88,24.38,2.61,0.03
2024-05-13,34.96,20.55,2.68,0.02
2024-05-14,34.47,15.96,3.63,0.0
2024-05-15,35.3,11.8,2.83,0.0
2024-05-16,36.64,12.45,2.36,0.0
2024-05-17,38.49,14.11,2.77,0.0
2024-05-18,38.45,15.12,3.69,0.0
2024-05-19,38.84,17.41,4.19,0.0
2024-05-20,39.07,16.48,4.33,0.0
2024-05-21,37.88,14.96,2.65,0.0
2024-05-22,37.36,18.14,3.29,0.0
2024-05-23,36.76,29.06,4.82,0.0
2024-05-24,36.74,30.24,3.39,0.0
2024-05-25,38.26,23.1,3.5,0.0
2024-05-26,39.23,16.72,3.81,0.0
2024-05-27,39.37,15.79,3.18,0.0
2024-05-28,40.32,9.69,2.73,0.0
2024-05-29,39.82,11.16,3.31,0.0
2024-05-30,39.49,13.15,4.59,0.0
2024-05-31,39.45,9.84,3.66,0.0
2024-06-01,38.63,15.77,3.74,0.01
2024-06-02,38.73,21.53,3.0,0.0
2024-06-03,39.2,18.55,4.28,0.01
2024-06-04,39.51,18.85,3.31,2.03
2024-06-05,38.81,21.15,4.3,0.13
2024-06-06,37.27,22.79,3.24,1.2
2024-06-07,37.43,26.29,4.54,0.0
2024-06-08,37.64,24.29,5.2,0.0
2024-06-09,37.28,21.07,4.85,0.0
2024-06-10,37.63,17.96,4.5,0.0
2024-06-11,38.21,16.09,3.77,0.0
2024-06-12,39.09,14.95,3.74,0.0
2024-06-13,39.48,19.67,5.8,0.0
2024-06-14,39.82,22.72,7.48,0.36
2024-06-15,40.23,20.93,6.55,0.0
2024-06-16,40.28,21.8,6.47,0.0
2024-06-17,41.15,23.82,6.19,0.0
2024-06-18,41.23,24.27,6.66,0.0
2024-06-19,40.97,24.55,6.09,0.0
2024-06-20,38.99,27.03,2.96,3.09
2024-06-21,36.94,31.13,2.88,0.92
2024-06-22,37.05,29.25,1.98,0.0
2024-06-23,38.13,31.69,2.59,0.69
